CustomerID	Cluster
3867	2
6940	0
55	0
7093	3
5084	0
1777	3
8162	3
10826	3
8754	0
1987	3
11007	3
7426	0
9153	0
10379	0
9204	2
3197	2
2920	0
6961	3
4673	2
9937	1
8779	3
9596	1
2891	2
4910	1
75	0
10120	3
6327	2
10142	2
9826	1
1501	1
10767	2
7279	2
7230	0
143	1
450	0
9316	3
6379	0
9239	0
8315	0
2868	3
10888	0
1277	2
9977	2
10196	2
6384	2
8029	1
968	0
6988	2
4472	3
6991	0
3336	0
4301	3
1940	3
1272	0
1388	3
1044	0
6969	0
10479	2
3619	1
1715	3
10159	0
1463	0
5114	2
4990	0
4329	3
10936	2
4692	3
7212	0
6086	2
437	1
11171	0
11101	2
5329	3
610	0
9384	0
5956	0
10430	2
7875	2
7072	2
6255	2
6516	3
5564	0
5682	2
7458	3
5237	0
7761	3
5278	2
3560	2
7235	3
10548	1
2281	3
4073	2
6974	2
7938	0
7094	0
3667	2
7723	2
3870	2
4012	0
5909	0
10470	3
6488	3
10270	3
6887	2
6406	2
7573	3
4508	1
221	0
5331	2
1911	2
20	0
8786	0
10582	2
1915	2
8897	0
2371	3
4303	3
6825	3
1072	0
4964	2
2461	0
10736	2
3194	1
10839	3
49	3
4290	3
10219	3
4211	3
1135	3
6299	0
10846	0
347	0
6543	2
10446	2
3479	3
11075	0
4442	0
199	0
6722	2
796	0
3749	2
8523	3
310	0
8629	0
236	3
9930	1
3483	0
4599	0
7326	0
7352	0
2350	0
9145	2
2964	3
5585	3
9687	1
3732	0
6303	2
11176	0
2986	3
7462	3
3900	0
7034	3
9493	1
1143	3
1	2
3855	3
5536	2
5989	2
9499	2
6768	3
2150	2
6646	3
4887	0
8560	2
3321	0
11003	3
10402	3
9904	2
6141	0
5687	1
10856	0
5121	0
4186	3
368	3
3312	3
11121	3
5332	2
5848	2
10343	1
5935	0
2895	0
10262	3
7848	0
9477	0
4856	2
7186	3
5794	0
1456	0
4877	3
425	0
3007	3
1031	2
4297	3
807	0
9553	3
4271	3
4120	0
2036	0
115	0
4259	3
8687	0
2447	3
10140	2
9353	2
3623	3
738	0
7631	0
4789	2
773	0
10602	3
1446	1
3270	3
8443	3
9653	3
8916	3
8017	0
5830	1
4597	2
7023	0
8086	0
8825	0
2930	1
1928	3
7108	0
10925	2
9960	3
8800	2
9224	0
5519	0
5046	2
7037	3
905	3
8624	2
8945	0
6445	2
2727	0
6404	0
11074	1
10150	1
1968	0
6534	0
9485	0
7053	1
4654	2
9760	0
1048	3
10619	1
9308	2
10505	2
8362	2
2625	0
4637	1
9972	0
4483	1
4487	0
4988	3
8931	2
5871	3
2008	2
3139	1
10037	1
10673	2
5303	2
538	0
7922	2
